leagueid,teamid,nationid
76,211,10
76,263,10
76,266,12
76,267,12
76,278,22
1003,383,54
76,393,22
1014,517,54
1003,567,54
1014,598,54
1003,1035,54
1003,1039,54
1003,1041,54
1003,1043,54
1003,1048,54
1014,1053,54
78,1318,14
78,1325,7
78,1328,10
78,1330,12
78,1331,13
78,1334,17
78,1335,18
78,1337,21
78,1341,24
78,1343,27
78,1352,36
78,1353,37
78,1354,38
78,1355,25
78,1356,39
78,1359,42
78,1362,45
78,1363,46
78,1366,49
78,1367,50
78,1369,52
78,1386,83
78,1387,95
76,1874,23
76,1884,22
78,1886,23
76,1960,50
76,1961,50
76,100135,11
76,100325,17
76,101047,49
76,101059,49
1014,101097,55
1003,101100,56
1014,101101,56
1003,101103,56
1014,101104,56
1014,101105,56
1003,101108,58
1014,101109,60
1014,101110,60
76,101112,70
78,105035,34
78,110081,35
76,110468,12
1003,110581,52
1014,110967,53
1003,110968,53
1003,110969,53
1014,110970,53
1014,110975,55
1014,110978,55
1003,110980,55
1003,110981,57
1014,110982,57
1014,110984,57
1014,110986,57
1003,110987,57
1014,110989,61
1014,110990,61
1003,110993,61
1014,110998,60
1014,111004,58
1003,111008,58
1003,111010,59
1014,111011,59
1003,111013,59
1014,111014,59
1014,111042,54
1014,111052,54
78,111111,129
76,111139,70
1003,111325,60
1003,111326,60
1014,111328,55
1014,111329,58
1014,111332,61
1003,111334,59
78,111462,117
78,111473,198
78,111527,182
76,111596,211
76,111651,70
76,111701,190
1014,111722,56
76,111766,198
1014,112001,54
1014,112184,60
76,112254,50
1014,112472,54
1014,112578,56
1003,112585,55
1014,112707,55
1003,112716,58
1003,112744,56
1003,112908,57
1003,112914,61
2136,113000,70
2136,113002,14
2136,113003,18
2136,113004,21
2136,113007,36
2136,113008,46
2136,113009,95
2136,113010,83
2136,113011,34
2136,113012,45
1014,113029,59
2136,113394,7
2136,113984,42
2136,113996,52
1014,114580,57
1014,114582,59
1014,114600,53
1014,114611,61
1014,115358,53
2136,115682,38
1014,116007,58
2226,116280,27
1014,116295,58
2136,116428,24
76,130000,211
76,130001,211
2226,131358,38
2226,131359,34
2226,131360,12
2226,131361,47
2226,131362,46
2226,131363,42
